name,status,user,companions,num_people,park,region,province,country,distance,elevation_gain,start_date,end_date,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,route_source,route,backpacking,num_reviews
West Coast Trail,1,Jamie,,,Pacific Rim,Vancouver Island,British Columbia,Canada,75.0,1510,,,,,,,24.6,-2.1,3151.7,121.0,point to point,48.577,-124.417,1,0,1,1,1,1,1,0,5.55,4.29,alltrails,https://www.alltrails.com/trail/canada/british-columbia/west-coast-trail-north-to-south,1,1
Full Western Uplands,1,Jamie,,,Algonquin,Southern Ontario,Ontario,Canada,73.1,940,,,,,,,28.2,-22.3,864.3,210.8,loop,45.463,-78.798,1,1,1,0,0,0,0,0,4.39,3.73,komoot,"https://www.komoot.com/plan/tour/d01ArW3F_tNo-U=FynsEzL3ippBkCv-kPyRHnzQ/@45.5389051,-78.8226251,9.843z",1,1
Grande Rota,1,Jamie,,,Santa Maria,Santa Maria,Azores,Portugal,70.6,2100,,,,,,,23.7,12.506,716.55,0.0,loop,36.974,-25.165,1,0,0,1,1,0,1,0,5.68,4.25,gaia,,1,1
Lake Superior Coast,1,Jamie,,,Lake Superior,Northern Ontario,Ontario,Canada,70.4,660,,,,,,,24.5,-22.1,876.1,225.4,point to point,47.559,-84.949,1,1,1,1,1,0,1,0,4.22,4.51,komoot,"https://www.komoot.com/plan/tour/d01AtTTTfrwxco=Fyl4BMHk7dgkPGSyTInMPRWA/@47.5527335,-84.9065954,10.100z",1,1
Pukaskwa Coast,1,Jamie,,,Pukaskwa,Northern Ontario,Ontario,Canada,59.5,730,,,,,,,24.0,-25.3,651.4,179.8,point to point,48.591,-86.29,1,1,1,1,1,0,0,0,4.54,4.49,komoot,"https://www.komoot.com/plan/tour/d01AuVwIfrbUHQ=Fzp4BiwLCjiMrfNTHAA=/@48.3981206,-86.0771330,8.161z",1,1
Wildhorse Canyon,1,Jamie,,,Okanagan Mountain,Okanagan,British Columbia,Canada,43.9,1930,,,,,,,35.7,-12.4,344.82,125.202,loop,49.782,-119.591,1,1,0,0,1,0,0,0,5.51,4.62,komoot,"https://www.komoot.com/plan/tour/d01Aveaw_jfK_8=FykABPgbPucJopKxMqK5-IAy5BmgATho/@49.7343960,-119.6127003,11.293z",1,1
Heaven's Gate Trail,1,Jamie,,,La Cloche,Northern Ontario,Ontario,Canada,38.0,1320,,,,,,,24.4,-19.3,753.5,156.3,point to point,46.113,-82.076,1,1,1,0,0,0,0,0,5.17,4.36,alltrails,https://www.alltrails.com/trail/canada/ontario/heavens-gate-trail,1,1
Presidential Range,1,Jamie,,,White Mountains,New Hampshire,New Hampshire,USA,36.2,2220,,,,,,,25.9,-22.6,969.9,322.0,point to point,44.281,-71.253,1,1,1,1,0,0,0,0,5.21,4.46,komoot,"https://www.komoot.com/plan/tour/d01AqOu2_vAwwI=Fwj4BVJBLiTALlAwWLQd_pAD1P9U6_8AeAXEndQIp7g3AW0VgRg48PoABHv7Ms_a3DVkBd13AQRoKWHu8qqAQRoaWzoaM1ACaaZNNkhvOnWbCuekt53cnge-RDGRRouA/@44.2634185,-71.2779426,10.113z",1,1
Highland Trail,1,Jamie,,,Algonquin,Southern Ontario,Ontario,Canada,35.0,460,,,,,,,28.6,-22.9,740.8,196.5,loop,45.573,-78.525,1,1,1,1,0,0,0,0,3.4,2.83,komoot,"https://www.komoot.com/plan/tour/d01ArdkS_tRzXU=Fxj4BNnDJ2klWanxmixjlYnE05KEUGOPE3Wg/@45.5428625,-78.5013269,11.480z",1,1
Spectrum Lake,1,Jamie,,,Monashee,Canadian Rockies,British Columbia,Canada,13.9,380,,,,,,,30.994000000000007,-16.994,520.86,398.02,out and back,50.504,-118.361,1,1,1,0,0,0,0,0,3.21,3.82,komoot,"https://www.komoot.com/plan/tour/d01AwKgfPjx9R0=FycABKGYqlOf077QegA=/@50.5074425,-118.3185254,12.844z",1,1
Pollett's Cove,1,Jamie,,,Cape Breton Highlands,Cape Breton,Nova Scotia,Canada,13.3,680,,,,,,,26.2,-11.6,1144.7,421.6,out and back,46.873,-60.743,1,0,1,0,1,0,0,0,4.02,4.32,komoot,"https://www.komoot.com/plan/tour/d01Ass5-PxhInU=FxjsE7XtgxYhYnJqgA==/@46.8916151,-60.7096422,11.715z",1,1
Flowerpot Island,1,Jamie,,,Fathom Five,Southern Ontario,Ontario,Canada,5.8,50,,,,,,,21.7,-13.2,719.2,180.7,loop,45.299,-81.617,1,1,0,0,0,1,1,0,1.74,3.6,komoot,"https://www.komoot.com/plan/tour/d01ArM1Q_sintI=FvfsBNMq6z5Q_YnNhbxQOOq7Q6gZw3qePAIsOrh2cZ74QNbo/@45.2998030,-81.6152390,14.793z",1,1
